Albania,#genre#
Comarca TV,https://video-weaver.ord56.hls.ttvnw.net/v1/playlist/Cq4FFLOPxq44Qy0kxjcr_wXuRRwjKU6gJ80Tc5eWRkaz5XdeNfeq7DzoNAstinu7BLtnw7jYDANX5yCDozdlS55_kYfuDyqQhwF0JpzU75lDUv5NOuUVWBwlP0m1Bh1JMn21v_OvA_teSCI7hcIFl2DoINrr8bHnpSS8EUvXNesfdX_LcfQH-clqftQ0sCreLIbTvxI5MyL6Wnm8jGh2yg48A2c_k9YHDH6TpM3tLo-pbRrrfByqMq-IoMQREf5DV_sTfHtAzinQQU3Np309s2ScJwcBlAjzz4VJ7svuJ1UbWBBylenSTnrXQW5Vws7OqG2kcoAHHpAQN6BQCpxaXO6dE7MLg7Nq6E7961fHEVSqFCRQg2Y5orbSsEwMo7_S4s5POZSQX1tn04QDuHfLixx-aBcbctSSFmI1CNZ3YDCEZVvWHOU6SyKQcsZeJCFLA1DsxqY3DeAn6n7xpPS4pdsizKqlqsT66liv_L-48h7jGujNZPDHge0fcgUs_7b7jlKJlKv-S_s1mGgLqPEUEQ8dhn5AugB0kfjAGgcTHIP_qLPRY0M7OikuBaMxh1pUpPkVG9AX4jCg1cwCgcfa64OP9ed4pwMjoiKm0dIfytTQ8hWjwXtkv16nJDfZ3kkqaMnM8ErZG6tRw-JVy3nRooKubY7Re0Fc1RHB85_eX2NYQD88N7r-UgaiO2ax0FQ-E_IdfuwSmp5oDy6Di6pT7r_zDRN3znbV64s4i-INUg-D2Leeq4xqYhe_Zhj-3AoxXDWCB0-DCc1kFEComkNpY01YA19zEm01TKLCbdaJwdC6bQpSEoJkOCoPAMnxm7oPNlqZRbhM4TVCJ34f4Y1guzaDomcEABl4Cii2UF-OhskRUZF-SUWjWdO6z62UqZagzG2QOTr6VBH-ItT_16fLsRUaDGTVKzgYHT8XcSqTkyABKgl1cy1lYXN0LTEwjQY.m3u8
El Trece,https://live-01-02-eltrece.vodgc.net/eltrecetv/index.m3u8
El Nueve,https://octubre-live.cdn.vustreams.com/live/channel09/live.isml/live.m3u8
Telefe Ⓨ,https://telefe.com/Api/Videos/GetSourceUrl/694564/0/HLS?.m3u8
América Ⓨ,https://www.youtube.com/c/americaenvivo/live
A24 Ⓨ,https://www.youtube.com/c/A24com/live
Armenia,#genre#
Armenia 1,https://amtv1.livestreamingcdn.com/am2abr/index.m3u8
Kentron TV Ⓢ,https://gineu9.bozztv.com/gin-36bay2/gin-kentron/tracks-v1a1/mono.m3u8
Armenia TV Ⓢ,https://cdn.hayastantv.com:8088/armenia/tracks-v1a1/mono.m3u8
5TV Ⓢ,https://cdn.hayastantv.com:8088/5tv/tracks-v1a1/mono.m3u8
Australia,#genre#
ABC,https://c.mjh.nz/101002210221/
TVSN,https://tvsn-i.akamaihd.net/hls/live/261837/tvsn/tvsn_750.m3u8
ABC Me,https://c.mjh.nz/101002210224/
ABC News,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index.m3u8
M4TV,https://5a32c05065c79.streamlock.net/live/stream/playlist.m3u8
Racing.com,https://racingvic-i.akamaized.net/hls/live/598695/racingvic/1500.m3u8
9Go! Ⓖ,https://9now-livestreams.akamaized.net/hls/live/2008312/go-syd/master.m3u8
9Life Ⓖ,https://9now-livestreams.akamaized.net/hls/live/2008313/life-syd/master.m3u8
9Rush Ⓖ,https://9now-livestreams.akamaized.net/hls/live/2010626/rush-syd/master.m3u8
Austria,#genre#
ORF 1 Ⓖ,https://orf1.mdn.ors.at/out/u/orf1/q8c/manifest.m3u8
ORF 2 Ⓖ,https://orf2.mdn.ors.at/out/u/orf2/q8c/manifest.m3u8
ORF III Ⓖ,https://orf3.mdn.ors.at/out/u/orf3/q8c/manifest.m3u8
ORF Sport + Ⓖ,https://orfs.mdn.ors.at/out/u/orfs/q8c/manifest.m3u8
Servus TV Ⓖ,https://rbmn-live.akamaized.net/hls/live/2002825/geoSTVATweb/master.m3u8
oe24,https://varoe24live.sf.apa.at/oe24-live1/oe24.smil/chunklist_b1900000.m3u8
W24,https://ms01.w24.at/W24/smil:liveevent.smil/playlist.m3u8
P3TV,http://p3-6.mov.at:1935/live/weekstream/playlist.m3u8
RTV,http://iptv.rtv-ooe.at/stream.m3u8
RTS Ⓖ,https://58b42f6c8c9bf.streamlock.net:8080/live/RTS2015/playlist.m3u8
Tirol TV Ⓖ,http://lb.hd-livestream.de:1935/live/TirolTV/playlist.m3u8
R9,https://ms01.w24.at/R9/smil:liveeventR9.smil/playlist.m3u8
Azerbaijan,#genre#
ARB 24,http://85.132.81.184:8080/arb/live/index.m3u8
ARB Günəş Ⓢ,https://www.tvkaista.net/stream-forwarder/get.php?x=ARMGunes
ARB Ⓢ,http://109.205.166.68/server124/arb/index.m3u8
Azad TV Ⓢ,https://www.tvkaista.net/stream-forwarder/get.php?x=ATVAz
AzStarTV,http://live.azstartv.com/azstar/smil:azstar.smil/playlist.m3u8
AZTV Ⓢ,https://www.tvkaista.net/stream-forwarder/get.php?x=AZTV
Baku TV,https://rtmp.baku.tv/live/bakutv_720p.m3u8
CBC,https://stream.cbctv.az:5443/LiveApp/streams/cbctv.m3u8
CBC Sport Ⓖ,https://mn-nl.mncdn.com/cbcsports_live/cbcsports/playlist.m3u8
Dünya TV Ⓢ,https://www.tvkaista.net/stream-forwarder/get.php?x=Dunya
İctimai TV Ⓢ,http://109.205.166.68/server124/ictimai_tv/index.m3u8
İdman TV Ⓢ,http://109.205.166.68/server124/idman_az/index.m3u8
Kanal S,https://www.tvkaista.net/stream-forwarder/get.php?x=KanalS
Mədəniyyət TV Ⓢ,https://str.yodacdn.net/medeniyyet/index.m3u8
Real TV,https://www.tvkaista.net/stream-forwarder/get.php?x=RealTV
Space TV Ⓢ,http://109.205.166.68/server124/space_tv/index.m3u8
TMB Azərbaycan,https://www.tvkaista.net/stream-forwarder/get.php?x=TMBAzerbaijan
Xəzər TV Ⓢ,https://www.tvkaista.net/stream-forwarder/get.php?x=Xezer
Səhiyyə TV,https://www.tvkaista.net/stream-forwarder/get.php?x=SehiyyeTV
VIP HD,https://www.tvkaista.net/stream-forwarder/get.php?x=AZ_VIP
MTV Azerbaijan Ⓢ,https://www.tvkaista.net/stream-forwarder/get.php?x=MTVAzerbaijan
Belarus,#genre#
Беларусь 1,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus1.smil/playlist.m3u8
Беларусь 2,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus2.smil/playlist.m3u8
Беларусь 3,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus3.smil/playlist.m3u8
ОНТ Ⓢ,https://stream.dc.beltelecom.by/ont/ont/playlist.m3u8
Беларусь 5,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus5.smil/playlist.m3u8
СТВ,https://ctv.dc.beltelecom.by/ctv/ctv.stream/playlist.m3u8
Беларусь 24,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus24.smil/playlist.m3u8
Беларусь 5 Интернет,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus5int.smil/playlist.m3u8
1Mus,http://hz1.teleport.cc/HLS/HD.m3u8
8 Kanal Vitebsk Ⓢ,http://95.46.208.8:24433/art
Belros Ⓢ,https://live2.mediacdn.ru/sr1/tro/playlist.m3u8
Belarus 4 Vitebsk Ⓢ,http://95.46.208.8:26258/belarus4
Hawe TV Vitebsk Ⓢ,http://95.46.208.8:26259/nashe
Pervyy Muzykal'nyy BY Ⓢ,http://rtmp.one.by:1200
Planeta RTR Ⓢ,https://a3569455801-s26881.cdn.ngenix.net/live/smil:rtrp.smil/chunklist_b1600000.m3u8
Radio HIT Orsk,http://hithd.camsh.orsk.ru/hls/hithd.m3u8
Vitebsk Telekanal,https://flu.vtv.by/tvt-non-by/tracks-v1a1/mono.m3u8
Belgium,#genre#
RTL-Be,https://rtltvi-lh.akamaihd.net/i/TVI_1@319659/master.m3u8
La Une,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/29797c9f3f4fa00.m3u8
Tipik,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/5dee2de1f4661ce.m3u8
Club RTL,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/9ef55f75bc15308.ts
La Trois,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/6f940c7da9a562e.ts
Plug RTL,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/de5c6896d356f8e.ts
LN24,https://live.cdn.ln24.be/out/v1/b191621c8b9a436cad37bb36a82d2e1c/index.m3u8
BX1,https://59959724487e3.streamlock.net/stream/live/playlist.m3u8
EEN,https://live-vrt.rabah.net/groupc/live/8edf3bdf-7db3-41c3-a318-72cb7f82de66/live_aes.isml/playlist.m3u8
Canvas,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/09916e3a88db175.ts
VTM,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/c5cafdbfc4d28d3.ts
VIER,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/3f1f349cb9cf765.ts
VIJF,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/7f59a4dfcc56366.ts
Bosnia and Herzegovina,#genre#
BHT 1,https://bhrtstream.bhtelecom.ba/bhrtportal_hd.m3u8
Federalna televizija (FTV) Ⓢ,http://94.250.2.6:7374/play/a02s/index.m3u8
Televizija Republike Srpske (RTRS) Ⓢ,https://parh.rtrs.tv/tv/live/playlist.m3u8
RTRS PLUS Ⓢ,https://pluslive.rtrs.tv/plus/plus/playlist.m3u8
N1 Bosna i Hercegovina,https://best-str.umn.cdn.united.cloud/stream?channel=n1bos&p=n1Sh4redSecre7iNf0&sp=n1info&stream=sp1400&u=n1info
RTV HB Ⓢ,https://prd-hometv-live-open.spectar.tv/ERO_1_083/playlist.m3u8
RTV BN,https://rtvbn.tv:8080/live/index.m3u8
RTV Glas Drine,http://glasdrine.cutuk.net:8081/433ssdsw/GlasDrineSD/playlist.m3u8
Sevdah Ⓢ,https://restreamer2.tnt.ba/hls/stream.m3u8
TNT Kids,https://restreamer1.tnt.ba/hls/tntkids.m3u8
Televizija 5,https://balkanmedia.dynu.net/hls/tv5web.m3u8
Kanal 6,https://restreamer1.tnt.ba/hls/kanal6.m3u8
SuperTV,https://mirtv.club/live/mirtv/index.m3u8
Neon TV,rtsp://185.50.56.16:554/neontelvizija
RTV ZE Ⓢ,https://stream.rtvze.ba/live/123/123.m3u8
TV BPK Ⓢ,http://94.250.2.6:7374/play/a02u/index.m3u8
Brazil,#genre#
COM Brasil,https://br5093.streamingdevideo.com.br/abc/abc/playlist.m3u8
SBT Ⓨ,https://www.youtube.com/watch?v=ABVQXgr2LW4
RBC Ⓨ,https://www.youtube.com/watch?v=oUdd3CsxYaE
Record News,https://stream.ads.ottera.tv/playlist.m3u8?network_id=2116
ISTV,https://video08.logicahost.com.br/istvnacional/srt.stream/istvnacional.m3u8
Rede Brasil,https://video09.logicahost.com.br/redebrasiloficial/redebrasiloficial/playlist.m3u8
TV Câmara,https://stream3.camara.gov.br/tv1/manifest.m3u8
TVE RS,http://selpro1348.procergs.com.br:1935/tve/stve/playlist.m3u8
TV Cultura,https://player-tvcultura.stream.uol.com.br/live/tvcultura.m3u8
Bulgaria,#genre#
City TV Ⓢ,https://tv.city.bg/play/tshls/citytv/index.m3u8
Euronews Bulgaria Ⓨ,https://www.youtube.com/channel/UCU1i6qBMjY9El6q5L2OK8hA/live
TV1,https://tv1.cloudcdn.bg/temp/livestream.m3u8
Canada,#genre#
CBC Toronto,https://bozztv.com/teleyupp1/teleup-ydcl2V1MVC/playlist.m3u8
Citytv,https://bozztv.com/teleyupp1/teleup-iSykLSKMFr/tracks-v1a1/mono.m3u8
CTV Toronto,https://bozztv.com/teleyupp1/teleup-zxsJFt6VvY/playlist.m3u8
Global Toronto,https://d128o1k7zh3htz.cloudfront.net/out/v1/74a58360a3734f97b74ba439bc678044/index.m3u8
Global Calgary,https://dfmjr9irb1dl5.cloudfront.net/out/v1/454010ff309e4963a087f5802856e346/index.m3u8
Global Edmonton,https://da7sdtkzly6qj.cloudfront.net/out/v1/b317f6c10f2e493993bd2b5314df1c7c/index_1.m3u8
TVO,https://bozztv.com/teleyupp1/teleup-OMZsmYVUMp/playlist.m3u8
NTV,http://152.89.62.111:8080/nXyAiP3DNp/QgOuvocpGv/223012
CHCH,http://152.89.62.111:8080/nXyAiP3DNp/QgOuvocpGv/222841
ONNtv Ontario,https://onntv.vantrix.tv:443/onntv_hls/1080p/onntv_hls-HLS-1080p.m3u8
Star TV,http://live.canadastartv.com:1935/canadastartv/canadastartv/playlist.m3u
CBC News,https://cbcnewshd-f.akamaihd.net/i/cbcnews_1@8981/index_2500_av-p.m3u8
CTV News,https://pe-fa-lp02a.9c9media.com/live/News1Digi/p/hls/00000201/38ef78f479b07aa0/index/0c6a10a2/live/stream/h264/v1/3500000/manifest.m3u8
Global News,https://i.mjh.nz/PlutoTV/62cbef9ebb857100072fc187-alt.m3u8
Global News BC,https://i.mjh.nz/PlutoTV/62cbf063257170000724590c-alt.m3u8
Global News Calgary,https://i.mjh.nz/PlutoTV/62cbf23dcfb48300077f8348-alt.m3u8
Global News Halifax,https://i.mjh.nz/PlutoTV/62cbf398b8e02600071deda5-alt.m3u8
Global News Kingston,https://i.mjh.nz/PlutoTV/62cbf4964446e2000742073e-alt.m3u8
Global News Montreal,https://i.mjh.nz/PlutoTV/62cbfbd6ad95670007f567af-alt.m3u8
Global News Peterborough,https://i.mjh.nz/PlutoTV/62cbfcd8c2db990007861e43-alt.m3u8
Global News Regina,https://i.mjh.nz/PlutoTV/62cbff53ca8f2200080253b5-alt.m3u8
Global News Saskatoon,https://i.mjh.nz/PlutoTV/62cc00359cb58900088dc840-alt.m3u8
Global News Winnipeg,https://i.mjh.nz/PlutoTV/62cc0120880c890007191016-alt.m3u8
CPAC (EN),https://d7z3qjdsxbwoq.cloudfront.net/groupa/live/f9809cea-1e07-47cd-a94d-2ddd3e1351db/live.isml/.m3u8
ICI RDI,https://rcavlive.akamaized.net/hls/live/704025/xcanrdi/master.m3u8
ICI Télé HD Ⓖ,https://rcavlive.akamaized.net/hls/live/696615/xcancbft/master.m3u8
TVA Ⓖ,https://tvalive.akamaized.net/hls/live/2012413/tva01/master.m3u8
Noovo,https://pe-ak-lp04a-9c9media.akamaized.net/live/NOOVO/p/dash/00000001/f481c583dbd06b6c/manifest.mpd
Télé Québec,https://bcovlive-a.akamaihd.net/575d86160eb143458d51f7ab187a4e68/us-east-1/6101674910001/playlist.m3u8
Savoir Média,https://hls.savoir.media/live/stream.m3u8
CPAC (FR),https://bcsecurelivehls-i.akamaihd.net/hls/live/680604/1242843915001_3/master.m3u8
ICI Montreal,https://amdici.akamaized.net/hls/live/873426/ICI-Live-Stream/master.m3u8
Toronto 360 TV,http://cdn3.toronto360.tv:8081/toronto360/hd/playlist.m3u8
Chad,#genre#
Tchad 24,http://102.131.58.110/out_1/index.m3u8
Télé Tchad Ⓢ,https://strhlslb01.streamakaci.tv/str_tchad_tchad/str_tchad_multi/playlist.m3u8
Chile,#genre#
UCV Televisión,https://unlimited1-cl-isp.dps.live/ucvtv2/ucvtv2.smil/playlist.m3u8
TVN Ⓖ,https://sktv-forwarders.7m.pl/get.php?x=TVN
24 horas,https://mdstrm.com/live-stream-playlist/57d1a22064f5d85712b20dab.m3u8
NTV Ⓖ,https://mdstrm.com/live-stream-playlist/5aaabe9e2c56420918184c6d.m3u8
TV Chile Ⓖ,https://mdstrm.com/live-stream-playlist/533adcc949386ce765657d7c.m3u8
Canal 13,https://sktv-forwarders.7m.pl/get.php?x=Canal13
TV+ Ⓖ,https://mdstrm.com/live-stream-playlist/5c0e8b19e4c87f3f2d3e6a59.m3u8
Chilevisión Ⓖ,https://sktv-forwarders.7m.pl/get.php?x=Chilevision
UChile TV,https://unlimited1-us.dps.live/uchiletv/uchiletv.smil/playlist.m3u8
T13 en vivo,https://redirector.rudo.video/hls-video/10b92cafdf3646cbc1e727f3dc76863621a327fd/t13/t13.smil/playlist.m3u8
13 Entretención,https://origin.dpsgo.com/ssai/event/BBp0VeP6QtOOlH8nu3bWTg/master.m3u8
13 Cultura,https://origin.dpsgo.com/ssai/event/GI-9cp_bT8KcerLpZwkuhw/master.m3u8
13 Prime,https://origin.dpsgo.com/ssai/event/p4mmBxEzSmKAxY1GusOHrw/master.m3u8
13 Kids,https://origin.dpsgo.com/ssai/event/LhHrVtyeQkKZ-Ye_xEU75g/master.m3u8
13 Realities,https://origin.dpsgo.com/ssai/event/g7_JOM0ORki9SR5RKHe-Kw/master.m3u8
13 Teleseries,https://origin.dpsgo.com/ssai/event/f4TrySe8SoiGF8Lu3EIq1g/master.m3u8
El Pingüino TV,https://redirector.rudo.video/hls-video/339f69c6122f6d8f4574732c235f09b7683e31a5/pinguinotv/pinguinotv.smil/playlist.m3u8
UCL,https://redirector.rudo.video/hls-video/c54ac2799874375c81c1672abb700870537c5223/ucl/ucl.smil/playlist.m3u8
Deportes13 Ⓖ,https://redirector.rudo.video/hls-video/ey6283je82983je9823je8jowowiekldk9838274/13d/13d.smil/playlist.m3u8
TVN 3,https://mdstrm.com/live-stream-playlist/5653641561b4eba30a7e4929.m3u8
Chilevisión Noticias,https://redirector.rudo.video/hls-video/10b92cafdf3646cbc1e727f3dc76863621a327fd/chvn/chvn.smil/playlist.m3u8
China,#genre#
CCTV-1 综合,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV-2 财经,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV-4 中文国际（亚） Ⓨ,https://www.youtube.com/channel/UC4K_LI-Tn3-LshNgG0-YypQ/live
CCTV-4 中文国际（美） Ⓢ,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-5 体育,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV-5+ 体育赛事,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV-7 国防军事,https://node1.olelive.com:6443/live/CCTV7HD/hls.m3u8
CCTV-8 电视剧,https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
CCTV-9 纪录,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV-10 科教,https://node1.olelive.com:6443/live/CCTV10HD/hls.m3u8
CCTV-13 新闻,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8
CCTV-17 农业农村,https://node1.olelive.com:6443/live/CCTV17HD/hls.m3u8
CETV-1,http://txycsbl.centv.cn/zb/0628cetv1.m3u8
CETV-2,http://txycsbl.centv.cn/zb/0822cetv2.m3u8
CETV-3,http://txycsbl.centv.cn/zb/0822cetv3.m3u8
CETV-4,http://txycsbl.centv.cn/zb/0822cetv4.m3u8
TV BRICS Chinese,https://brics.bonus-tv.ru/cdn/brics/chinese/playlist.m3u8
Costa Rica,#genre#
Canal 1,https://video20.klm99.com:3993/live/canal1crlive.m3u8
Canal 2 CDR,https://d3bgcstab9qhdz.cloudfront.net/hls/canal2.m3u8
Canal 4,https://d3bgcstab9qhdz.cloudfront.net/hls/canal2.m3u8
Canal 6,https://d3bgcstab9qhdz.cloudfront.net/hls/canal2.m3u8
Canal 8,http://mdstrm.com/live-stream-playlist/5a7b1e63a8da282c34d65445.m3u8
Canal 11,https://d3bgcstab9qhdz.cloudfront.net/hls/canal2.m3u8
88 Stereo,http://k3.usastreams.com/CableLatino/88stereo/playlist.m3u8
Croatia,#genre#
HRT 1,https://webtvstream.bhtelecom.ba/hls9/hrt1_1200.m3u8
HRT 2,https://webtvstream.bhtelecom.ba/hls9/hrt2_1200.m3u8
RTL,https://d1cs5tlhj75jxe.cloudfront.net/rtl/playlist.m3u8
HRT 3,https://webtvstream.bhtelecom.ba/hls9/hrt3_1200.m3u8
RTL 2,https://d1um9c09e0t5ag.cloudfront.net/rtl2/playlist.m3u8
Sportska televizija Ⓖ,https://stream.agatin.hr:3087/live/sptvlive.m3u8
RTL Kockica,https://d1rzyyum8t0q1e.cloudfront.net/rtl-kockica/playlist.m3u8
CMC TV,https://stream.cmctv.hr:49998/cmc/live.m3u8
Plava Vinkovačka,https://player-api.new.livestream.com/accounts/26611954/events/7977299/broadcasts/237205435.secure.m3u8
Televizija Slavonije i Baranje (STV),http://89.201.163.244:8080/hls/hdmi.m3u8
Osječka televizija (OSTV) Ⓢ,https://player-api.new.livestream.com/accounts/27681961/events/8347875/broadcasts/237202062.secure.m3u8
TV Nova,https://stream.agatin.hr:3727/live/tvnovalive.m3u8
TV Jadran,https://tvjadran.stream.agatin.hr:3412/live/tvjadranlive.m3u8
Libertas TV,https://stream.luci.xyz/hls/LTV.m3u8
Trend TV,http://185.62.75.22:1935/trend/myStream/playlist.m3u8
Televizija Zapad,http://webtv.zapad.tv:8080/memfs/1ad23803-84c3-41c7-aa91-fce4c7eac52e.m3u8
Al Jazeera Balkans,https://live-hls-web-ajb.getaj.net/AJB/index.m3u8
Cyprus,#genre#
RIK 1 Ⓢ,http://l6.cloudskep.com/tvb6/rik1-1/mpeg.2ts
RIK 2 Ⓢ,http://l6.cloudskep.com/tvb6/rik2-1/mpeg.2ts
RIK HD,http://l6.cloudskep.com/tvb6/rikhd1/mpeg.2ts
RIK Sat,https://l3.cloudskep.com/cybcsat/abr/playlist.m3u8
BRT 1,https://sc-kuzeykibrissmarttv.ercdn.net/brt1hd/bant1/playlist.m3u8
BRT 2,https://sc-kuzeykibrissmarttv.ercdn.net/brt2hd/bant1/playlist.m3u8
Ada TV Ⓢ,https://sc-kuzeykibrissmarttv.ercdn.net/adatv/bant1/playlist.m3u8
Kıbrıs Genç TV Ⓢ,https://sc-kuzeykibrissmarttv.ercdn.net/kibrisgenctv/bant1/playlist.m3u8
Kanal T Ⓢ,https://sc-kuzeykibrissmarttv.ercdn.net/kanalt/bantp1/playlist.m3u8
Kıbrıs TV Ⓢ,https://sc-kuzeykibrissmarttv.ercdn.net/kibristv/bant1/playlist.m3u8
TV 2020 Ⓢ,https://sc-kuzeykibrissmarttv.ercdn.net/tv2020/bantp1/playlist.m3u8
Czech Republic,#genre#
ČT1 Ⓖ,https://sktv.plainrock127.xyz/get.php?x=CT1
ČT2 Ⓖ,https://sktv.plainrock127.xyz/get.php?x=CT2
ČT24,https://sktv.plainrock127.xyz/get.php?x=CT24
ČT sport Ⓖ,https://sktv.plainrock127.xyz/get.php?x=CTsport
ČT :D,https://sktv.plainrock127.xyz/get.php?x=CT_D
ČT art,https://sktv.plainrock127.xyz/get.php?x=CTart
ČT sport Plus Ⓖ,https://sktv.plainrock127.xyz/get.php?x=CTsportPlus
JOJ Family Ⓢ,https://live.cdn.joj.sk/live/hls/family-540.m3u8
Šlágr Originál Ⓢ,https://stream-6.mazana.tv/slagr.m3u
Šlágr Muzika Ⓢ,https://stream-33.mazana.tv/slagr2.m3u
Šlágr Premium Ⓢ,https://stream-15.mazana.tv/slagrpremium.m3u
Prima Ⓖ,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_family/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
CNN Prima News,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_cnn/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
Prima Zoom Ⓖ,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_zoom/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
Prima Love Ⓖ,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_love/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
Prima STAR Ⓖ,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_star/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
Prima Krimi Ⓖ,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_krimi/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
Prima MAX Ⓖ,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_max/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
Prima Cool Ⓖ,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_cool/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
